,id,rank,legalStatus,type,title,summary,applicant,applicationDate,mainIpc,applicationNumber,documentNumber,documentDate,inventor,applicantType,ipc,cpc,imagePath
0,US11029728B1,0,有效专利,发明授权,Case for portable electronic computing device,"Systems and methods are involved with a frame including first wall and third wall, door panel portion, and shelf panel portion, wherein door panel positionable to be removably couplable to at least one coupling area of first wall and at least one coupling area of the third wall wherein as door panel being in at least one coupled position, the door panel being coupled to the at least one coupling area of the first wall being and coupled to the at least one coupling area of the third wall, wherein as the door panel being in at least one uncoupled position, the door panel being uncoupled from the at least one coupling area of the first wall and from the at least one coupling area of the third wall. In addition, other aspects are described in the claims, drawings, and text forming a part of the present disclosure.","Pioneer Square Brands, Inc.",2021-03-15,G06F1/16,US17202316,US11029728B1,2021-06-08,Brian Lewis Piper; Michael Cooper Ferren,企业,G06F1/16,,/docs/US/2021-06-08/US11029728B1/abs.jpg.150x150.jpg
1,US2021195294A1,0,公开,发明申请,METHODS AND SYSTEMS FOR IMPLEMENTING AN ELASTIC CLOUD BASED VOICE SEARCH USING A THIRD-PARTY SEARCH PROVIDER,"Systems and methods are described to provide voice search in an elastic cloud environment communicating with a set-top box (STB) by receiving by a voice cloud search server pulse-code modulation (PCM) audio packets transmitted from the STB; sending the PCM audio packets to a natural language processing (NLP) service for converting to text; sending the text sets to an elastic voice cloud search server for querying an electronic program guide (EPG) service, channel and program data associated with the text set wherein the EPG service to at least return identified channel and program data; in response to an identified return of channel and television program data, sending sets of text to a third-party search service for performing an independent search for related data and returning search results of video and image content which is then stripped of dynamic scripts to return to the STB.",DISH Network L.L.C.,2021-03-10,H04N21/482,US17197486,US20210195294A1,2021-06-24,JAMES WILDE; ASHOK SONI; HAWK MCGINTY; JAMES SHULER; LIXING ZHANG; MICHAEL DISANTE; NARAYANAN SEKHAR; XIAOMEI SUN; XINHUA YANG,其他,H04N21/482; G10L15/22; G06F16/438; G10L15/18; H04N21/439; G10L15/30; G06F40/30; H04N21/858; H04N21/431; G06F40/205; G06F16/9032,,/docs/US/2021-06-24/US20210195294A1/abs.jpg.150x150.jpg
2,US2021195210A1,0,公开,发明申请,VIDEO ENCODING METHOD AND VIDEO ENCODING DEVICE,"A video encoding method includes a first mode selection step of selecting at least one mode as a first candidate mode from a predetermined first mode group for encoding a video, a second mode selection step of selecting one mode as an encoding mode from a predetermined second mode group, based on the selected first candidate mode, and an encoding step of encoding the video in the selected encoding mode.",Socionext Inc.,2021-03-10,H04N19/159,US17198045,US20210195210A1,2021-06-24,Satoshi YAMAGUCHI; Masao KITAGAWA,企业,H04N19/159; H04N19/109; H04N19/127; H04N19/156,,/docs/US/2021-06-24/US20210195210A1/abs.jpg.150x150.jpg
3,US2021195127A1,0,公开,发明申请,"SOLID-STATE IMAGING DEVICE, METHOD OF MANUFACTURING SOLID-STATE IMAGING DEVICE, AND ELECTRONIC APPARATUS","A solid-state imaging device including an imaging area where a plurality of unit pixels are disposed to capture a color image, wherein each of the unit pixels includes: a plurality of photoelectric conversion portions; a plurality of transfer gates, each of which is disposed in each of the photoelectric conversion portions to transfer signal charges from the photoelectric conversion portion; and a floating diffusion to which the signal charges are transferred from the plurality of the photoelectric conversion portions by the plurality of the transfer gates, wherein the plurality of the photoelectric conversion portions receive light of the same color to generate the signal charges, and wherein the signal charges transferred from the plurality of the photoelectric conversion portions to the floating diffusion are added to be output as an electrical signal.",Sony Semiconductor Solutions Corporation,2021-03-10,H04N5/369,US17197203,US20210195127A1,2021-06-24,Hiroaki Ishiwata,企业,H04N5/369; H01L27/146; H04N9/04; H04N5/225; H04N5/3745; H04N5/357; H04N5/347,,/docs/US/2021-06-24/US20210195127A1/abs.jpg.150x150.jpg
4,US2021194713A1,0,公开,发明申请,SYSTEM AND METHOD FOR TRANSMITTING AND PROCESSING GROUP MESSAGE IN A STORE,"A system and method may transmit and process a group message in a store. For example, the system and method may transmit and process the group message in the store, in which tables in the store are set in a section unit, and a group message can be transmitted to one or more electronic devices of staff in charge of each section, thus to provide the best service to customers.","HELLOFACTORY CO., LTD.",2021-03-10,H04L12/18,US17197032,US20210194713A1,2021-06-24,Kyungmin KIM,企业,H04L12/18; H04W4/12; H04L12/58; H04W4/08; H04W76/40,,/docs/US/2021-06-24/US20210194713A1/abs.jpg.150x150.jpg
5,US2021194543A1,0,公开,发明申请,Wirelessly Charged Electronic Device With Shared Inductor Circuitry,"An electronic device may contain an input-output device such as a speaker, vibrator, or near field communications antenna. The input-output device may include an inductor. The inductor in the input-output device may be shared by wireless charging circuitry in the electronic device so that wireless charging signals can be converted into power to charge a battery in the electronic device. A separate inductor may also be provided within an input-output device to support wireless charging. A drive circuit may supply drive signals to the input-output device such as audio signals, vibrator control signals, or near field communications output signals for external near field communications equipment. An input amplifier that is coupled across the inductor in the input-output device may be used in receiving near field communications signals.",Apple Inc.,2021-03-10,H04B5/00,US17197812,US20210194543A1,2021-06-24,Jeffrey J. Terlizzi,企业,H04B5/00; H01F38/14; H02J50/12; H02J50/10; H02J50/20; H04B1/3827; H04W12/06; H04W12/08; H04W4/80,,/docs/US/2021-06-24/US20210194543A1/abs.jpg.150x150.jpg
6,US2021193320A1,0,公开,发明申请,MACHINE-LEARNING BASED QUERY CONSTRUCTION AND PATTERN IDENTIFICATION FOR HEREDITARY ANGIOEDEMA,"A method, computer program product, and system identifying a probability of a medical condition in a patient. The method includes a processor obtaining data set(s) related to a patient population diagnosed with a medical condition and based on a frequency of features in the data set(s), identifying common features and weighting the common features based on frequency of occurrence in the data set(s) to generate mutual information. The processor generates pattern(s) including a portion of the common features to generate a machine learning algorithm(s). The processor compiles a training set of data to use to tune the machine learning algorithm(s). The processor dynamically adjusts common features in the pattern(s) such that the machine learning algorithm(s) can distinguish patient data indicating the medical condition from patient data not indicating the medical condition. The processor applies the machine learning algorithm(s) to data related to the undiagnosed patient, to determine the probability.","HVH Precision Analytics, LLC",2021-03-10,G16H50/20,US17197840,US20210193320A1,2021-06-24,Oodaye Shukla; Donna Yosmanovich; Manjula Kasoji; Amy Finkbiner; Robert Lauer; Rauf Izmailov,企业,G16H50/20; G06F16/242; G06F16/27; G06N7/00; G06N5/04; G06N20/00,,/docs/US/2021-06-24/US20210193320A1/abs.jpg.150x150.jpg
7,US2021192893A1,0,公开,发明申请,GAMING MACHINE AND METHOD WITH NUMERICAL BASIS FOR PRIZES IN REELS,"A gaming machine and method for operating a slot machine game in which virtual or mechanical reels include numbers from which a prize amount is produced by concatenation. In response to a wager activation by a player, the reels display conduct a base game including spinning the reels and stopping to produce a respective randomly selected outcome having a plurality of symbols including single digit numbers which are positive numbers and zero, double digit numbers which are positive and double zero, and blank symbols. A prize amount associated with the outcome is identified by concatenating the single and double digit numbers and ignoring the blank symbols along a designated payline.","Everi Games, Inc.",2021-03-10,G07F17/32,US17197436,US20210192893A1,2021-06-24,Charles A. Medford; Daniel W. Eulenfeld,企业,G07F17/32; G07F17/34,,/docs/US/2021-06-24/US20210192893A1/abs.jpg.150x150.jpg
8,US2021192624A1,0,公开,发明申请,System and Method for Prioritized Data Delivery in an Electronic Trading Environment,"A system and method for prioritized data delivery in an electronic trading environment are described herein. According to one example embodiment, by prioritizing the messages associated with a tradeable object, the bandwidth and system resource usage may be optimally reduced, and any loss of priority content in the messages sent between the network device and the client device may be reduced. An example method includes associating different priority levels with messages comprising market data. Messages containing market information related to the inside market may be associated to a higher priority level. Whereas messages containing market information relating to the quantities at prices outside the inside market may be associated with a lower priority level. Based on the priority level associated with a message, a network device may send the message directly to the client device or store the message in a data structure until a pre-defined condition is satisfied.",TRADING TECHNOLOGIES INTERNATIONAL INC.,2021-03-10,G06Q40/04,US17197653,US20210192624A1,2021-06-24,Douglas A. Duquette; Robert A. West,企业,G06Q40/04; G06Q30/08; G06Q40/06; G06Q30/06,,/docs/US/2021-06-24/US20210192624A1/abs.jpg.150x150.jpg
9,US2021192440A1,0,公开,发明申请,ELECTRONIC INVENTORY TRACKING SYSTEM AND ASSOCIATED USER INTERFACES,"A computer-implemented system for tracking items in a supply chain. The system may comprise a memory storing instructions and at least one processor configured to execute instructions. Those stored instructions include receiving a first input that an item has entered a first station, the input comprising a first location identifier; assigning an inventory identifier to the item; storing the location identifier and the inventory identifier in a data store, associating the location identifier with the inventory identifier; receiving a second input comprising the inventory identifier and a second location identifier when the item is moved to a new station: storing the new location identifier when the item is moved to a new station; storing the new location identifier such that the new location identifier is associated with the inventory identifier with at least one previous station associated with the inventory identifier; receiving a request for a diagram; generating a diagram tracking the item using at least the inventory identifier and at least one location identifier, wherein the diagram tracks the item from the inbound station to the most recent station; and transmitting the diagram for display.","Coupang, Corp.",2021-03-10,G06Q10/08,US17197779,US20210192440A1,2021-06-24,Byung Suk Yang,其他,G06Q10/08; G06F3/0484,,/docs/US/2021-06-24/US20210192440A1/abs.jpg.150x150.jpg
