,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
美国 (US),49428,49748,49260,46613,46778,48034,46813,42675,38282,36686,41179
德国 (DE),48726,50045,46999,44550,44374,44565,46346,43329,39752,47037,46862
法国 (FR),33511,32134,27664,26484,26058,26270,24914,23552,21553,21180,21071
英国 (GB),29276,28162,26536,25011,24713,23348,22792,21617,19143,18006,17057
西班牙 (ES),20390,19975,18162,15642,16543,16086,15403,14280,12765,11127,10069
瑞士 (CH),10870,10546,9611,9314,9156,9264,8719,8836,9688,9415,8441
比利时 (BE),10289,9863,1943,715,574,689,668,615,472,444,475
苏联 (SU),9395,8630,6313,5203,4019,2916,2343,1934,2343,2386,4456
奥地利 (AT),7189,6837,6368,5684,5110,4470,4175,4718,3916,3555,3284
丹麦 (DK),2816,2600,2425,2290,2310,2155,2040,2029,1923,1795,1748
希腊 (GR),1175,1189,996,883,779,848,1002,868,725,599,497
芬兰 (FI),1124,1076,1006,931,770,492,239,132,139,345,499
韩国 (KR),1106,1301,920,695,540,346,292,199,104,22,73
卢森堡 (LU),849,118,83,34,32,43,29,20,21,30,30
荷兰 (NL),691,663,418,329,276,296,283,253,187,185,204
瑞典 (SE),586,208,118,78,63,41,37,47,47,34,42
爱尔兰 (IE),563,488,457,319,364,327,366,320,285,338,257
中国台湾 (TW),257,237,206,203,198,163,149,120,62,27,8
日本 (JP),121,100,87,48,47,66,54,30,20,17,14
巴西 (BR),118,61,40,19,10,14,8,,1,,
摩纳哥 (MC),90,79,65,51,,,,,,,
冰岛 (IS),86,85,89,56,54,40,66,29,45,54,44
马来西亚 (MY),74,48,48,44,47,51,58,154,,,
澳大利亚 (AU),61,19,16,6,18,13,5,3,9,4,45
捷克斯洛伐克 (CS),47,34,16,15,8,5,6,2,1,1,1
挪威 (NO),37,14,8,4,,1,1,2,,1,1
东德 (DD),33,34,19,17,14,10,10,14,8,7,4
加拿大 (CA),25,29,14,28,32,17,13,10,23,7,21
塞浦路斯 (CY),22,10,13,14,12,15,20,8,5,7,2
意大利 (IT),22,8,6,9,4,2,4,7,3,5,5
多米尼加 (DO),10,16,2,1,,,,,,,
俄罗斯 (RU),3,1,,,,,2,,1,,
南斯拉夫 (YU),2,,,,,,,,,,
危地马拉 (GT),1,,,,,,,,,,
罗马尼亚 (RO),1,1,5,,,,,,,,
古巴 (CU),,1,,,,,,,,,
非洲知识产权组织 (OA),,1,,,,,,,,,
以色列 (IL),,,1,,,,,,,,
波兰 (PL),,,,1,1,1,,,,1,
南非 (ZA),,,,,,,,,1,1,3
