,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
中国 (CN),382808,4016094,4291056,4065341,3715036,3220467,2799411,2355265,2166806,2024897,1577341,1190859,991682,817249,691912,601905,505983,414015,355889,292020,221926,186013,152486,131708,118798,105118,89528,79491,70619,61009,47930,40163
美国 (US),16604,242197,439306,582621,666970,695198,702820,698010,684710,647399,600648,556064,529340,558452,567997,555222,534273,522963,513856,475016,448847,239256,207485,190712,186723,159570,158275,135931,119056,114035,110372,109433
英国 (GB),5495,19436,27669,33362,36888,37295,41968,42375,43571,42515,40119,38163,39011,41495,43843,43671,45399,49128,50907,51851,53251,53801,52550,50442,49856,48451,47358,46215,47359,48057,47560,48325
日本 (JP),5456,69782,265059,344852,418821,510827,522392,538769,515523,520255,496774,497161,497708,536048,538000,557309,574105,560770,547603,554635,559250,545953,514744,517467,504923,491559,485894,469311,570510,596763,618963,646084
澳大利亚 (AU),4569,13338,33573,46869,49716,54161,55249,55885,58446,55328,53558,50851,47783,48600,48808,50469,49913,47422,147220,70641,109927,100783,84252,76369,67998,60406,53269,49345,38598,35708,35838,36826
德国 (DE),2528,22042,68445,74972,77590,78365,78700,79646,78480,77417,77926,77747,78892,90379,99379,111228,124119,135419,145008,153754,168892,176035,171470,167193,161701,152959,142880,139725,135613,131978,128681,128142
以色列 (IL),2178,6974,7174,8214,9295,9251,8518,8496,7070,7904,9945,8923,8616,9475,10749,10080,4495,4797,5040,8051,8344,8414,8733,8774,8375,7281,6536,5908,5754,5342,5331,5490
韩国 (KR),2149,30122,66428,91333,158651,273945,300426,313530,313812,312998,305852,302100,297808,298176,285925,281976,291130,283259,256591,229150,225460,211934,187423,177341,227099,248498,219698,158696,141651,126521,116339,103467
中国台湾 (TW),1246,24679,72166,90633,93467,96801,101914,107840,113255,116672,111796,105661,102672,110586,108406,107941,108095,97926,87745,54269,51444,45932,42666,42310,39597,34830,30946,28235,26248,24020,21459,20009
土耳其 (TR),1148,3890,4197,4994,6036,4332,2711,2061,1474,3571,4734,4483,4203,4033,3811,3151,2548,1849,1539,1405,1789,3613,4228,3931,3157,2455,1048,590,714,786,761,777
西班牙 (ES),998,5947,6728,9110,14454,20126,23752,27575,28462,29229,29509,29421,29795,30932,29819,29989,29848,30405,30015,30022,30711,31096,30029,28424,27417,26418,25754,25562,26380,26601,25800,25624
俄罗斯 (RU),753,16475,34231,43961,57365,64746,73354,65788,74292,75176,70502,69079,64129,66473,66436,64354,57514,56128,50355,42962,31762,26614,22293,19060,17319,18485,25731,31445,20009,28555,41049,35110
克罗地亚 (HR),689,1984,2302,2215,2060,1836,1484,1312,1244,1101,1003,758,695,711,546,436,1136,1442,1171,1163,1042,953,385,715,811,673,576,1001,1189,1158,,
哥伦比亚 (CO),686,1688,2225,2148,1047,178,554,2105,2165,1922,1886,1773,1344,310,238,522,834,836,318,192,374,1329,1233,1406,1365,1038,1033,724,199,21,12,4
乌克兰 (UA),358,3688,8120,9874,10355,11150,10463,11569,12685,13113,13461,13840,12540,13087,12734,12081,11081,9425,13233,9664,7941,6072,5423,5183,2943,2132,2237,2115,2443,423,1607,1990
捷克 (CZ),201,1207,1973,2008,2142,2101,2544,2616,2990,2941,2629,2676,2348,2094,2097,1986,2083,2155,2244,4656,6701,7584,7973,8212,8035,7740,7329,7283,6320,5896,2896,1908
菲律宾 (PH),192,2542,5963,5812,5308,5795,5920,4032,1049,381,93,53,16,22,13,5,5,7,1,3,13,16,17,19,33,60,198,495,509,408,371,700
南非 (ZA),179,739,3296,5489,3330,2990,4712,5659,5436,5651,6053,5782,4509,5845,7029,7290,8186,7803,6190,6345,5923,3204,3749,8359,8351,7823,7307,6291,6019,6272,6806,6981
挪威 (NO),158,681,1253,1558,2143,2228,2159,2323,2450,2281,2385,2434,4532,6599,7977,7368,10843,7798,12660,14263,14718,15309,15229,14349,14279,12854,12631,12243,11941,12933,13466,15215
厄瓜多尔 (EC),124,490,603,774,599,275,362,481,689,769,702,793,630,919,438,790,711,571,507,194,116,582,562,527,450,458,364,123,195,175,124,207
欧盟 (EP),123,23961,92138,152560,181844,213651,259477,284217,284680,280579,271572,260487,249283,260622,260190,259236,249014,237759,229326,225166,227061,216219,196268,182285,163982,146616,133000,125093,120987,122641,124366,136689
