,id,rank,loc,legalStatus,currentStatus,type,title,applicant,applicationDate,mainIpc,applicationNumber,documentNumber,documentDate,inventor,applicantType,ipc,cpc,imagePath,summary
0,CN306651093S,0,26-05,有效专利,授权,外观设计,吊灯单体（6008）,中山市古镇乔菱照明电器经营部,2021-06-04,,CN202130342503.8,CN306651093S,2021-06-29,叶宝才,其他,,,/CN/2021/3/68/images/202130342503.jpg,
1,CN306649712S,0,23-03,有效专利,授权,外观设计,加湿取暖器(HP03-A),佛山市小悦电器有限公司,2021-06-03,,CN202130338618.X,CN306649712S,2021-06-29,陈德贤,企业,,,/CN/2021/3/67/images/202130338618.jpg,
2,CN306648419S,0,15-99,有效专利,授权,外观设计,电器柜顶板（d1）,江苏楚亚电气科技有限公司,2021-06-01,,CN202130330582.0,CN306648419S,2021-06-29,李丽利,企业,,,/CN/2021/3/66/images/202130330582.jpg,
3,CN113030719A,0,,公开,公开,发明公开,用于确定继电器剩余切断寿命的方法及装置,蜂巢能源科技有限公司,2021-05-31,G01R31/327,CN202110597945.6,CN113030719A,2021-06-25,李鸣; 张巧然,企业,G01R31/327,,/CN/2021/1/119/images/202110597945.jpg,本公开涉及一种用于确定继电器剩余切断寿命的方法及装置，以解决现有技术无法准确计算继电器在不同电流下进行切断的剩余切断寿命，该方法包括：在所述继电器使用在具有电源的设备中的情况下，获取在所述设备下电时所述继电器的切断电流；根据所述切断电流与预先标定的多个标定电流值之间的大小关系，确定目标标定电流值；根据所述目标标定电流值，以及所述多个标定电流值与计数比率之间预设的对应关系，确定对应所述目标标定电流值的目标计数比率；根据所述设备上一次下电时确定的所述继电器的剩余切断寿命减去所述目标计数比率，得到所述继电器在本次设备下电后的剩余切断寿命。
4,CN306649935S,0,23-04,有效专利,授权,外观设计,空气清新机（AP3400）,广东新宝电器股份有限公司,2021-05-31,,CN202130327765.7,CN306649935S,2021-06-29,郭建刚; 余海秀; 徐洲洋,企业,,,/CN/2021/3/65/images/202130327765.jpg,
5,CN306631765S,0,23-04,有效专利,授权,外观设计,空气清新机（AP4409）,广东新宝电器股份有限公司,2021-05-31,,CN202130327658.4,CN306631765S,2021-06-22,郭建刚; 余海秀; 徐洲洋,企业,,,/CN/2021/3/65/images/202130327658.jpg,"1.本外观设计产品的名称：空气清新机（AP4409）。
2.本外观设计产品的用途：用于净化空气，消毒杀菌、除甲醛、去除异味。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
6,CN213547098U,0,,有效专利,授权,实用新型,电池安全保护系统及电池管理系统,四川新能源汽车创新中心有限公司,2021-05-31,H02H7/18,CN202121188111.1,CN213547098U,2021-06-25,罗波; 刘杰; 李立国; 华剑锋,企业,H02H7/18; H02J7/00; H01M10/42; H01M10/48,,/CN/2021/2/237/images/202121188111.jpg,本实用新型涉及电池管理技术领域，公开了一种电池安全保护系统及电池管理系统，电池安全保护系统包括：电压保护子系统；电压保护子系统包括电压采样电路和电压保护单元，所述电压保护单元包括第一电压保护电路；和/或电流保护子系统；电流保护子系统包括电流采样电路和电流保护单元，所述电流保护单元包括第一电流保护电路；所述系统根据电池的过欠压状态、过流状态，直接控制继电器的动作，对电池的工作状态进行控制。通过对系统电路结构进行设置，增加了仅通过硬件电路即可对高压电池的通断进行控制，解决了现有系统中当控制系统失效时存在的安全问题，能够更好地保证电池工作的安全性。
7,CN113022888A,0,,公开,公开,发明公开,卫星结构和卫星装配方法,北京最终前沿深空科技有限公司,2021-05-28,B64G1/10,CN202110587900.0,CN113022888A,2021-06-25,陈津林; 贾利敏; 焦石,企业,B64G1/10; B64G1/22,,/CN/2021/1/117/images/202110587900.jpg,本发明涉及一种卫星结构和卫星装配方法，卫星结构包括：包括多个卫星舱板、电子设备、线缆和插接组件，其中，当所述卫星舱板为单板结构时，根据预设的卫星结构布局将所述电子设备、线缆和插接组件安装在对应的卫星舱板上；在同一卫星舱板上，所述线缆一端连接所述电子设备，另一端连接所述插接组件；在不同卫星舱板之间，通过所述插接组件插接建立电器连接。本发明提高了卫星装配和拆卸效率，从而能够实现自动化批量生产卫星。
8,CN306631572S,0,23-03,有效专利,授权,外观设计,暖风机(HPEA-M),广东世联电器有限公司,2021-05-28,,CN202130323469.X,CN306631572S,2021-06-22,邓仲雯,企业,,,/CN/2021/3/64/images/202130323469.jpg,"1.本外观设计产品的名称：暖风机(HPEA‑M)。
2.本外观设计产品的用途：用于制备暖风，调整室内温度。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
9,CN306631571S,0,23-03,有效专利,授权,外观设计,暖被机(NPB10E),广东世联电器有限公司,2021-05-28,,CN202130323468.5,CN306631571S,2021-06-22,邓仲雯,企业,,,/CN/2021/3/64/images/202130323468.jpg,"1.本外观设计产品的名称：暖被机(NPB10E)。
2.本外观设计产品的用途：用于将被子、床单等床上物品进行加热，属于常见家用电器。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图1。"
