country_code,year,total number of patents,"GNI per capita, Atlas method (current US$)","Literacy rate, adult total (% of people ages 15 and above)",Urban population,"Adjusted net savings, excluding particulate emission damage (current US$)",GDP (current US$),"Mortality rate, neonatal (per 1,000 live births)"
ARG,2020,1,8930.0,,41796990.0,,383066977653.56,
ARG,2019,2401,11130.0,,41339571.0,22520760357.3544,445445177459.45294,6.1
ARG,2018,3464,12370.0,99.0038681030273,40877099.0,23330279814.3277,517626700412.885,6.2
ARG,2017,3397,13140.0,,40410674.0,31017342642.9394,643628665302.155,6.2
ARG,2016,3892,12220.0,99.12500762939449,39940546.0,27540555361.7631,557531376217.967,6.4
ARG,2015,4138,12570.0,99.17996215820308,39467043.0,28777930824.5369,594749285413.212,6.6
ARG,2014,4735,12330.0,98.99388885498051,38990109.0,23631243197.9959,526319673731.6379,6.9
ARG,2013,4800,12840.0,99.1219482421875,38509756.0,23058906176.0602,552025140252.246,7.2
ARG,2012,4815,11870.0,99.10523223876949,38027774.0,29102714913.3147,545982375701.128,7.5
ARG,2011,4794,10710.0,99.1083297729492,37543830.0,37263278484.4383,530163281574.658,7.6
ARG,2010,4782,9270.0,98.9549713134766,37055902.0,28737875335.6407,423627422092.49,7.7
ARG,2009,4985,7790.0,98.9834213256836,36714243.0,25480819665.6001,332976484577.61896,7.8
ARG,2008,5606,7670.0,,36284568.0,36899193376.3396,361558037110.419,8.0
ARG,2007,5765,6510.0,,35861117.0,32278588918.4141,287530508430.568,8.4
ARG,2006,5687,5480.0,98.6108016967773,35439468.0,20167447153.4841,232557260817.308,8.7
ARG,2005,5425,4260.0,,35015688.0,317233713.645566,198737095012.282,9.2
ARG,2004,4730,3370.0,,34588884.0,-189632514.818725,164657930452.787,9.7
ARG,2003,4583,3650.0,,34159484.0,9020168387.162642,127586973492.177,10.3
ARG,2002,4573,4040.0,,33728928.0,4350437806.94155,97724004251.8602,10.8
ARG,2001,5313,7000.0,97.1933135986328,33297960.0,10989674506.4422,268696750000.0,11.0
ARG,2000,5951,7470.0,,32867365.0,11593219846.0613,284203750000.0,10.9
ARM,2020,,4220.0,,1876112.0,,12645459213.5235,
ARM,2019,,4680.0,,1869846.0,-525707371.909976,13672802157.8324,6.4
ARM,2018,,4250.0,,1863995.0,198445797.405066,12457941907.0333,6.7
ARM,2017,,3950.0,99.7360687255859,1858250.0,457628240.360592,11527458565.7334,7.1
ARM,2016,,3760.0,,1852180.0,481978596.121408,10546135160.031,7.4
ARM,2015,,4010.0,,1845589.0,576820568.019396,10553337672.9872,7.8
ARM,2014,,4140.0,,1838076.0,120150465.805541,11609512939.7542,8.2
ARM,2013,,4110.0,,1830236.0,290747177.43931,11121465767.4067,8.7
ARM,2012,,3880.0,,1823993.0,215110682.4881,10619320048.5857,9.1
ARM,2011,,3530.0,99.7444076538086,1821998.0,-115274641.294704,10142111334.4961,9.6
ARM,2010,,3470.0,,1825368.0,75672615.1292461,9260284937.79781,10.1
ARM,2009,2,3340.0,,1835095.0,280970249.256384,8647936747.987041,10.6
ARM,2008,,3600.0,,1850406.0,2056950569.4047601,11662040713.8753,11.2
ARM,2007,,2760.0,,1869219.0,1583128816.51023,9206301700.39619,11.7
ARM,2006,,2020.0,,1888550.0,1059974493.4190199,6384451606.1421,12.3
ARM,2005,1,1540.0,,1906159.0,536307575.568625,4900469950.09033,13.0
ARM,2004,,1180.0,,1921598.0,199084114.071462,3576615240.41616,13.6
ARM,2003,1,960.0,,1935615.0,27244470.5826707,2807061008.69084,14.4
ARM,2002,,800.0,,1948905.0,-154183091.11593202,2376335048.3997602,15.1
ARM,2001,1,710.0,99.4001617431641,1964184.0,-236938581.561192,2118467913.37873,15.9
ARM,2000,1,660.0,,1984986.0,-343498168.193015,1911563668.8500602,16.4
AUS,2020,13338,53730.0,,22152761.0,,1330900925056.98,
AUS,2019,33573,55100.0,,21845994.0,85967028834.5253,1396567014733.23,2.3
AUS,2018,46869,53190.0,,21488110.0,82990601788.3075,1432881172002.17,2.3
AUS,2017,49716,51560.0,,21133982.0,85027803513.99,1329188475752.32,2.3
AUS,2016,54161,54140.0,,20755798.0,62525742468.1297,1208846993739.99,2.3
AUS,2015,55249,60500.0,,20410546.0,95880231647.4327,1351693984524.5,2.3
AUS,2014,55885,65150.0,,20095657.0,117464234142.703,1467483705131.74,2.4
AUS,2013,58446,66020.0,,19775013.0,149318662887.076,1576184467015.49,2.4
AUS,2012,55328,60210.0,,19414834.0,155364571426.87198,1546151783872.96,2.5
AUS,2011,53558,50320.0,,19056040.0,116956966741.571,1396649906339.35,2.6
AUS,2010,50851,46630.0,,18767085.0,81131508568.3155,1146138465603.81,2.7
AUS,2009,47783,44050.0,,18451611.0,83425137738.7517,927805183330.879,2.8
AUS,2008,48600,42330.0,,18049708.0,61458498005.8866,1053995523724.26,2.9
AUS,2007,48808,37300.0,,17666387.0,47448537550.6647,853099630996.31,3.0
AUS,2006,50469,34090.0,,17531121.0,47635901346.0024,746054207846.6609,3.1
AUS,2005,49913,30310.0,,17250330.0,43183350976.3398,693407758231.845,3.2
AUS,2004,47422,25480.0,,17000206.0,46650169087.7639,612490396927.0171,3.3
AUS,2003,147220,21120.0,,16780377.0,33331389784.5439,466488060570.7629,3.4
AUS,2002,70641,19990.0,,16550802.0,28235064299.2044,394648911678.52704,3.4
AUS,2001,109927,20110.0,,16326333.0,22280674038.6612,378376086723.194,3.5
AUS,2000,100783,21120.0,,16133530.0,25266825130.2013,415222633925.768,3.5
AUT,2020,407,,,5238680.0,,428965397959.456,
AUT,2019,2133,51390.0,,5196085.0,65183720973.2344,445075391688.156,2.1
AUT,2018,2497,49030.0,,5153759.0,60437627991.5559,454872626780.005,2.1
AUT,2017,2741,45030.0,,5110858.0,53418228293.4947,416207272209.538,2.2
AUT,2016,3078,46200.0,,5058968.0,54748175252.8604,395568644341.038,2.2
AUT,2015,3359,47450.0,,4988134.0,46989362842.1449,381817565893.574,2.2
AUT,2014,3357,50370.0,,4916377.0,55811262029.0463,441996131736.508,2.3
AUT,2013,3327,50700.0,,4861991.0,52734022649.4938,430068712971.867,2.3
AUT,2012,3355,50060.0,,4817487.0,52281165617.3793,409425234155.2629,2.4
AUT,2011,3712,50590.0,,4792887.0,58667326612.2831,431120310088.82,2.5
AUT,2010,5983,49610.0,,4800510.0,51644669313.6962,391892746544.69,2.5
AUT,2009,12433,49000.0,,4812679.0,49516645576.4801,400172297860.517,2.6
AUT,2008,20168,49110.0,,4823638.0,71670951259.2747,430294287388.31104,2.6
