year,Lower secondary school starting age (years),"Imports of goods, services and primary income (BoP, current US$)","Population ages 15-64, total",Taxes less subsidies on products (constant LCU),Net primary income (Net income from abroad) (constant LCU),Discrepancy in expenditure estimate of GDP (current LCU),total number of patents,"Services, value added (annual % growth)"
2000,11.571428571428571,579563732972.9225,181040671.85714287,16847203776440.0,12603708666.666666,-64726162414.28571,201868.57142857142,5.249511617028799
2001,11.571428571428571,550439285537.422,183145401.7142857,17763498482780.0,18791332000.0,-104232514671.42857,239672.2857142857,4.64444953509649
2002,11.571428571428571,560445633766.7915,185786040.14285713,18715196048760.0,16888925000.0,-132003511142.85715,250926.2857142857,4.336585615052591
2003,11.571428571428571,654661228550.2252,188698360.42857143,19079906848940.0,22587980333.333332,-139052669957.14285,267131.14285714284,3.473322354791402
2004,11.571428571428571,784651399089.2389,191435970.0,19926064432400.0,42959805333.333336,-24077900457.142857,280802.71428571426,4.059259476829387
2005,11.571428571428571,903539968794.633,193760194.7142857,20783468342040.0,45635628333.333336,92088030414.28572,296439.0,5.5468549817045405
2006,11.571428571428571,1056510110657.9464,195746096.57142857,21721020813720.0,35201138000.0,3952089828.571429,307348.71428571426,5.10171838279311
2007,11.571428571428571,1203935554959.4802,197347530.85714287,22224914296600.0,51519097000.0,109001896485.71428,318168.4285714286,5.478785404286062
2008,11.571428571428571,1299447783789.741,198629163.42857143,22093227644620.0,59691562333.333336,-10960335743.099972,334559.85714285716,3.31018749904657
2009,11.571428571428571,1012663570443.9401,199695090.42857143,22144844004120.0,67709594000.0,67267740450.3108,347793.28571428574,0.8811208078007919
2010,11.571428571428571,1201224614570.0266,200673418.14285713,23791881552460.0,89250697333.33333,51741770298.07136,380316.28571428574,3.4244982357487146
2011,11.571428571428571,1418268667677.4202,201270597.0,24778695923200.0,109528494000.0,54811079970.41734,442679.85714285716,3.4891745897004895
2012,11.571428571428571,1430285752006.816,201979811.2857143,25272759156820.0,96899320000.0,-6341272198.001328,517943.14285714284,3.3595229081675946
2013,11.571428571428571,1471538957848.722,202597082.0,25549287701620.0,88426283666.66667,-48155287675.46675,543288.8571428572,3.1766244120981257
2014,11.571428571428571,1522132329703.1665,203093208.57142857,26662905447300.0,87678423666.66667,-42520560149.562744,575386.1428571428,2.8909806318274254
2015,11.571428571428571,1390795854460.2617,203415615.57142857,27657980336240.0,81686000000.0,-46103647962.92429,635119.7142857143,3.180655399229239
2016,11.571428571428571,1367535723348.219,203512630.57142857,28863114076800.0,86705209000.0,6086973697.761515,688032.5714285715,2.7886432399126
2017,11.571428571428571,1497060655841.0513,203398145.7142857,29666069310660.0,111960139666.66667,43602520091.624275,724863.0,2.94128920151879
2018,11.571428571428571,1663084968173.7346,203027825.85714287,30052171592660.0,110663704333.33333,50032761714.28571,741797.7142857143,2.927814416928968
2019,11.571428571428571,1635086127818.368,202535062.2857143,30416141102280.0,102178339000.0,83618738705.4578,736892.0,3.0874895644748244
2020,11.571428571428571,1716420781583.452,202068646.85714287,37437803919163.94,88313741000.0,56254749999.99999,628559.0,-2.7916348261146102
